Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Income of households in 2015,      Average after-tax income of two-or-more-person households in 2015 ($),,347155,,,...,,...,90890,,,...,,...
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,36,6190,,,...,,...,14072075,,,...,,...
Income of households in 2015,  Under $5;000,,115,,,...,,...,228790,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,95,,,...,,...,200315,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,145,,,...,,...,374575,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,190,,,...,,...,565940,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,140,,,...,,...,602800,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,155,,,...,,...,538710,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,115,,,...,,...,603480,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,170,,,...,,...,606600,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,130,,,...,,...,596110,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,150,,,...,,...,578325,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,220,,,...,,...,1097345,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,245,,,...,,...,1010415,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,225,,,...,,...,924320,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,225,,,...,,...,836765,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,215,,,...,,...,745655,,,...,,...
Income of households in 2015,  $100;000 and over,,3660,,,...,,...,4561920,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,390,,,...,,...,1470255,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,335,,,...,,...,1016245,,,...,,...
Income of households in 2015,    $150;000 to $199;999,,520,,,...,,...,1116140,,,...,,...
Income of households in 2015,    $200;000 and over,,2405,,,...,,...,959285,,,...,,...
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,32,6190,,,...,,...,14072075,,,...,,...
Income of households in 2015,  Under $5;000,,155,,,...,,...,243780,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,90,,,...,,...,203865,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,155,,,...,,...,380680,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,195,,,...,,...,591660,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,160,,,...,,...,673740,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,160,,,...,,...,628225,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,170,,,...,,...,719825,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,180,,,...,,...,725675,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,170,,,...,,...,711180,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,145,,,...,,...,691695,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,300,,,...,,...,1299680,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,305,,,...,,...,1169515,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,280,,,...,,...,1041635,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,245,,,...,,...,900055,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,200,,,...,,...,757295,,,...,,...
Income of households in 2015,  $100;000 and over,,3285,,,...,,...,3333575,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,460,,,...,,...,1371945,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,365,,,...,,...,809540,,,...,,...
Income of households in 2015,    $150;000 and over,,2460,,,...,,...,1152090,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,37,4185,,,...,,...,9688845,,,...,,...
Income of economic families in 2015,  Median total income of economic families in 2015 ($),,214144,,,...,,...,88306,,,...,,...
Income of economic families in 2015,  Median after-tax income of economic families in 2015 ($),,164864,,,...,,...,76372,,,...,,...
Income of economic families in 2015,  Average family size of economic families,,3.1,,,...,,...,3,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,1470,,,...,,...,3706220,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families without children or other relatives in 2015 ($),,156774,,,...,,...,78976,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),,125111,,,...,,...,68309,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families without children or other relatives,,2,,,...,,...,2,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,2200,,,...,,...,4222140,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families with children in 2015 ($),,318464,,,...,,...,113465,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families with children in 2015 ($),,230912,,,...,,...,96608,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families with children,,4,,,...,,...,4,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,460,,,...,,...,1481410,,,...,,...
Income of economic families in 2015,  Median total income of lone-parent economic families in 2015 ($),,81984,,,...,,...,53193,,,...,,...
Income of economic families in 2015,  Median after-tax income of lone-parent economic families in 2015 ($),,71424,,,...,,...,48856,,,...,,...
Income of economic families in 2015,  Average family size of lone-parent economic families,,2.5,,,...,,...,2.7,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,38,4125,,,...,,...,9689855,,,...,,...
Income of economic families in 2015,  Average total income of economic families in 2015 ($),,548267,,,...,,...,111235,,,...,,...
Income of economic families in 2015,  Average after-tax income of economic families in 2015 ($),,352576,,,...,,...,91040,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,1460,,,...,,...,3706400,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families without children or other relatives in 2015 ($),,365728,,,...,,...,101086,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),,244757,,,...,,...,82296,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,2110,,,...,,...,4225855,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families with children in 2015 ($),,715506,,,...,,...,137094,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families with children in 2015 ($),,453072,,,...,,...,111307,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,,475,,,...,,...,1477190,,,...,,...
Income of economic families in 2015,  Average total income of lone-parent economic families in 2015 ($),,385981,,,...,,...,65549,,,...,,...
Income of economic families in 2015,  Average after-tax income of lone-parent economic families in 2015 ($),,246364,,,...,,...,56687,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,21,2195,,785,,1405,,5313545,,2608845,,2704705,
Income of economic families in 2015,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),39,48320,,49621,,47275,,31890,,34483,,29801,
Income of economic families in 2015,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),39,41920,,43648,,40923,,28959,,30746,,27495,
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,40,2260,,805,,1455,,5299050,,2596985,,2702070,
Income of economic families in 2015,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),41,111552,,148303,,91263,,42939,,46085,,39915,
Income of economic families in 2015,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),41,76534,,94920,,66384,,35801,,37724,,33952,
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,42,15280,,7245,,8035,,34460065,,16971550,,17488515,
Income of economic families in 2015,  In the bottom half of the distribution,,3420,,1440,,1985,,17229835,,8256970,,8972865,
Income of economic families in 2015,    In the bottom decile,,1150,,505,,645,,3445950,,1672900,,1773050,
Income of economic families in 2015,    In the second decile,,620,,255,,365,,3445660,,1564965,,1880700,
Income of economic families in 2015,    In the third decile,,495,,195,,300,,3446165,,1641930,,1804235,
Income of economic families in 2015,    In the fourth decile,,560,,235,,330,,3445850,,1677120,,1768730,
Income of economic families in 2015,    In the fifth decile,,600,,250,,345,,3446210,,1700060,,1746150,
Income of economic families in 2015,  In the top half of the distribution,,11855,,5805,,6055,,17230230,,8714580,,8515650,
Income of economic families in 2015,    In the sixth decile,,530,,255,,275,,3445695,,1716510,,1729185,
Income of economic families in 2015,    In the seventh decile,,685,,320,,365,,3446470,,1730975,,1715500,
Income of economic families in 2015,    In the eighth decile,,940,,435,,500,,3445940,,1741640,,1704300,
Income of economic families in 2015,    In the ninth decile,,1545,,735,,810,,3446045,,1751850,,1694195,
Income of economic families in 2015,    In the top decile,,8155,,4055,,4100,,3446080,,1773600,,1672475,
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,43,15275,,7240,,8035,,33968295,,16724265,,17244035,
Low income in 2015,  0 to 17 years,,3305,,1715,,1590,,6836380,,3504250,,3332125,
Low income in 2015,    0 to 5 years,,800,,425,,375,,2228770,,1142505,,1086270,
Low income in 2015,  18 to 64 years,,9090,,4285,,4810,,21695090,,10690090,,11005005,
Low income in 2015,  65 years and over,,2875,,1240,,1635,,5436830,,2529930,,2906905,
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),,1450,,630,,820,,4809940,,2243200,,2566740,
Low income in 2015,  0 to 17 years,,280,,145,,135,,1163830,,597570,,566255,
Low income in 2015,    0 to 5 years,,65,,35,,25,,396095,,203055,,193030,
Low income in 2015,  18 to 64 years,,920,,405,,515,,2855290,,1341590,,1513700,
Low income in 2015,  65 years and over,,250,,85,,170,,790825,,304040,,486780,
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,9.5,,8.7,,10.2,,14.2,,13.4,,14.9,
Low income in 2015,  0 to 17 years (%),,8.5,,8.5,,8.5,,17,,17.1,,17,
Low income in 2015,    0 to 5 years (%),,8.1,,8.2,,6.7,,17.8,,17.8,,17.8,
Low income in 2015,  18 to 64 years (%),,10.1,,9.5,,10.7,,13.2,,12.5,,13.8,
Low income in 2015,  65 years and over (%),,8.7,,6.9,,10.4,,14.5,,12,,16.7,
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),,1320,,575,,745,,3128995,,1519370,,1609630,
Low income in 2015,  0 to 17 years,,245,,130,,115,,696025,,357255,,338770,
Low income in 2015,    0 to 5 years,,55,,30,,20,,236435,,121170,,115260,
Low income in 2015,  18 to 64 years,,890,,390,,505,,2157745,,1057585,,1100160,
Low income in 2015,  65 years and over,,185,,55,,125,,275225,,104525,,170695,
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,8.6,,7.9,,9.3,,9.2,,9.1,,9.3,
Low income in 2015,  0 to 17 years (%),,7.4,,7.6,,7.2,,10.2,,10.2,,10.2,
Low income in 2015,    0 to 5 years (%),,6.9,,7.1,,5.3,,10.6,,10.6,,10.6,
Low income in 2015,  18 to 64 years (%),,9.8,,9.1,,10.5,,9.9,,9.9,,10,
Low income in 2015,  65 years and over (%),,6.4,,4.4,,7.6,,5.1,,4.1,,5.9,
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,44,15170,,7130,,8045,,34460065,,16971575,,17488485,
Knowledge of languages,  Official languages,,14985,,7055,,7930,,33818210,,16709290,,17108920,
Knowledge of languages,    English,,14980,,7060,,7925,,29748265,,14806270,,14941995,
Knowledge of languages,    French,,2715,,1170,,1545,,10242945,,4952455,,5290495,
Knowledge of languages,  Non-official languages,,4285,,1900,,2385,,9369280,,4488185,,4881090,
Knowledge of languages,    Aboriginal languages,,10,,10,,0,,263845,,127550,,136295,
Knowledge of languages,      Algonquian languages,,0,,10,,0,,177570,,85505,,92065,
Knowledge of languages,        Blackfoot,,0,,0,,0,,5645,,2695,,2950,
Knowledge of languages,        Cree-Montagnais languages,,0,,0,,0,,116585,,56515,,60070,
Knowledge of languages,          Atikamekw,,0,,0,,0,,6640,,3335,,3305,
Knowledge of languages,          Montagnais (Innu),,0,,0,,0,,11440,,5500,,5945,
Knowledge of languages,          Moose Cree,,0,,0,,0,,195,,80,,115,
Knowledge of languages,          Naskapi,,0,,0,,0,,1465,,710,,755,
Knowledge of languages,          Northern East Cree,,0,,0,,0,,545,,225,,320,
Knowledge of languages,          Plains Cree,,0,,0,,0,,5905,,2705,,3200,
Knowledge of languages,          Southern East Cree,,0,,0,,0,,40,,30,,10,
Knowledge of languages,          Swampy Cree,,0,,0,,0,,2345,,995,,1350,
Knowledge of languages,          Woods Cree,,0,,0,,0,,2665,,1230,,1435,
Knowledge of languages,          Cree; n.o.s.,,0,,0,,0,,86115,,42080,,44035,
Knowledge of languages,        Eastern Algonquian languages,,0,,0,,0,,9765,,4710,,5050,
Knowledge of languages,          Malecite,,0,,0,,0,,755,,370,,390,
Knowledge of languages,          Mi'kmaq,,0,,0,,0,,9025,,4350,,4670,
Knowledge of languages,        Ojibway-Potawatomi languages,,0,,0,,0,,46685,,22100,,24585,
Knowledge of languages,          Algonquin,,0,,0,,0,,2480,,1165,,1315,
Knowledge of languages,          Ojibway,,10,,10,,0,,28585,,13365,,15220,
Knowledge of languages,          Oji-Cree,,0,,0,,0,,15610,,7575,,8030,
Knowledge of languages,          Ottawa (Odawa),,0,,0,,0,,205,,105,,105,
Knowledge of languages,        Algonquian languages; n.i.e.,,0,,0,,0,,120,,60,,60,
Knowledge of languages,      Athabaskan languages,,0,,0,,0,,23655,,11340,,12320,
Knowledge of languages,        Northern Athabaskan languages,,0,,0,,0,,23570,,11300,,12265,
Knowledge of languages,          Babine (Wetsuwet'en),,0,,0,,0,,210,,105,,100,
Knowledge of languages,          Beaver,,0,,0,,0,,340,,180,,165,
Knowledge of languages,          Carrier,,0,,0,,0,,2105,,955,,1145,
Knowledge of languages,          Chilcotin,,0,,0,,0,,1150,,535,,610,
Knowledge of languages,          Dene,,0,,0,,0,,13060,,6270,,6790,
Knowledge of languages,          Dogrib (Tlicho),,0,,0,,0,,2375,,1210,,1165,
Knowledge of languages,          Gwich'in,,0,,0,,0,,360,,165,,200,
Knowledge of languages,          Sarsi (Sarcee),,0,,0,,0,,150,,60,,90,
Knowledge of languages,          Sekani,,0,,0,,0,,185,,85,,100,
Knowledge of languages,          Slavey-Hare languages,,0,,0,,0,,2815,,1340,,1475,
Knowledge of languages,            North Slavey (Hare),,0,,0,,0,,1010,,475,,530,
Knowledge of languages,            South Slavey,,0,,0,,0,,1365,,660,,710,
Knowledge of languages,            Slavey; n.o.s.,,0,,0,,0,,680,,320,,360,
Knowledge of languages,          Tahltan languages,,0,,0,,0,,630,,340,,285,
Knowledge of languages,            Kaska (Nahani),,0,,0,,0,,365,,205,,170,
Knowledge of languages,            Tahltan,,0,,0,,0,,270,,140,,130,
Knowledge of languages,          Tutchone languages,,0,,0,,0,,420,,160,,260,
Knowledge of languages,            Northern Tutchone,,0,,0,,0,,285,,115,,170,
Knowledge of languages,            Southern Tutchone,,0,,0,,0,,145,,50,,95,
Knowledge of languages,        Athabaskan languages; n.i.e.,,0,,0,,0,,85,,35,,50,
Knowledge of languages,      Haida,,0,,0,,0,,465,,205,,260,
Knowledge of languages,      Inuit languages,,0,,0,,0,,42980,,21355,,21630,
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0,,0,,0,,1975,,895,,1080,
Knowledge of languages,        Inuktitut,,0,,0,,0,,40620,,20280,,20340,
Knowledge of languages,        Inuit languages; n.i.e.,,0,,0,,0,,470,,225,,240,
Knowledge of languages,      Iroquoian languages,,0,,0,,0,,2800,,1240,,1555,
Knowledge of languages,        Cayuga,,0,,0,,0,,125,,40,,85,
Knowledge of languages,        Mohawk,,0,,0,,0,,2415,,1120,,1295,
Knowledge of languages,        Oneida,,0,,0,,0,,180,,60,,125,
Knowledge of languages,        Iroquoian languages; n.i.e.,,0,,0,,0,,115,,45,,75,
Knowledge of languages,      Kutenai,,0,,0,,0,,175,,95,,80,
Knowledge of languages,      Michif,,0,,0,,0,,1210,,585,,625,
Knowledge of languages,      Salish languages,,0,,0,,0,,5750,,2730,,3015,
Knowledge of languages,        Comox,,0,,0,,0,,185,,75,,110,
Knowledge of languages,        Halkomelem,,0,,0,,0,,1060,,475,,585,
Knowledge of languages,        Lillooet,,0,,0,,0,,790,,405,,385,
Knowledge of languages,        Okanagan,,0,,0,,0,,820,,370,,450,
Knowledge of languages,        Shuswap (Secwepemctsin),,0,,0,,0,,1305,,640,,665,
Knowledge of languages,        Squamish,,0,,0,,0,,285,,125,,155,
Knowledge of languages,        Straits,,0,,0,,0,,360,,160,,200,
Knowledge of languages,        Thompson (Ntlakapamux),,0,,0,,0,,450,,220,,235,
Knowledge of languages,        Salish languages; n.i.e.,,0,,0,,0,,565,,295,,270,
Knowledge of languages,      Siouan languages,,0,,0,,0,,5430,,2665,,2770,
Knowledge of languages,        Dakota,,0,,0,,0,,1760,,870,,890,
Knowledge of languages,        Stoney,,0,,0,,0,,3675,,1805,,1875,
Knowledge of languages,        Siouan languages; n.i.e.,,0,,0,,0,,140,,70,,70,
Knowledge of languages,      Tlingit,,0,,0,,0,,260,,140,,120,
Knowledge of languages,      Tsimshian languages,,0,,0,,0,,2730,,1350,,1380,
Knowledge of languages,        Gitxsan (Gitksan),,0,,0,,0,,1305,,645,,660,
Knowledge of languages,        Nisga'a,,0,,0,,0,,1060,,545,,515,
Knowledge of languages,        Tsimshian,,0,,0,,0,,410,,180,,235,
Knowledge of languages,      Wakashan languages,,0,,0,,0,,1490,,680,,805,
Knowledge of languages,        Haisla,,0,,0,,0,,175,,65,,110,
Knowledge of languages,        Heiltsuk,,0,,0,,0,,125,,50,,75,
Knowledge of languages,        Kwakiutl (Kwak'wala),,0,,0,,0,,605,,285,,320,
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0,,0,,0,,565,,265,,300,
Knowledge of languages,        Wakashan languages; n.i.e.,,0,,0,,0,,30,,20,,10,
Knowledge of languages,      Aboriginal languages; n.o.s.,,0,,0,,0,,665,,310,,360,
Knowledge of languages,    Non-Aboriginal languages,,4280,,1900,,2385,,9107075,,4361420,,4745660,
Knowledge of languages,      Afro-Asiatic languages,,220,,110,,115,,837355,,432560,,404795,
Knowledge of languages,        Berber languages,,10,,0,,10,,29460,,15745,,13715,
Knowledge of languages,          Kabyle,,0,,0,,0,,17120,,9100,,8015,
Knowledge of languages,          Berber languages; n.i.e.,,10,,10,,0,,12505,,6735,,5775,
Knowledge of languages,        Cushitic languages,,10,,10,,0,,57125,,26870,,30250,
Knowledge of languages,          Bilen,,0,,0,,0,,1085,,625,,470,
Knowledge of languages,          Oromo,,0,,0,,0,,6245,,3070,,3175,
Knowledge of languages,          Somali,,10,,0,,0,,49665,,23070,,26590,
Knowledge of languages,          Cushitic languages; n.i.e.,,0,,0,,0,,480,,220,,265,
Knowledge of languages,        Semitic languages,,220,,105,,110,,771130,,400780,,370350,
Knowledge of languages,          Amharic,,10,,0,,0,,33670,,16675,,16995,
Knowledge of languages,          Arabic,,60,,35,,30,,629055,,329235,,299820,
Knowledge of languages,          Assyrian Neo-Aramaic,,0,,0,,0,,19745,,9720,,10020,
Knowledge of languages,          Chaldean Neo-Aramaic,,0,,0,,0,,7115,,3505,,3610,
Knowledge of languages,          Harari,,0,,0,,0,,1710,,855,,860,
Knowledge of languages,          Hebrew,,150,,70,,80,,75020,,38730,,36290,
Knowledge of languages,          Maltese,,0,,0,,0,,7625,,3760,,3870,
Knowledge of languages,          Tigrigna,,0,,0,,0,,21340,,10640,,10705,
Knowledge of languages,          Semitic languages; n.i.e.,,0,,0,,0,,3220,,1655,,1565,
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,,0,,0,,0,,2775,,1440,,1335,
Knowledge of languages,      Austro-Asiatic languages,,50,,20,,25,,224865,,105845,,119020,
Knowledge of languages,        Khmer (Cambodian),,0,,0,,0,,27035,,12640,,14400,
Knowledge of languages,        Vietnamese,,50,,20,,30,,198895,,93735,,105155,
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,,0,,0,,0,,190,,70,,120,
Knowledge of languages,      Austronesian languages,,245,,85,,170,,656200,,273075,,383125,
Knowledge of languages,        Bikol,,0,,0,,0,,2075,,885,,1190,
Knowledge of languages,        Cebuano,,25,,0,,20,,27045,,10960,,16085,
Knowledge of languages,        Fijian,,0,,0,,0,,1660,,955,,705,
Knowledge of languages,        Hiligaynon,,0,,0,,0,,7925,,3200,,4720,
Knowledge of languages,        Ilocano,,10,,10,,0,,34530,,13805,,20730,
Knowledge of languages,        Malagasy,,0,,0,,0,,2335,,1120,,1220,
Knowledge of languages,        Malay,,20,,0,,0,,22470,,10370,,12100,
Knowledge of languages,        Pampangan (Kapampangan; Pampango),,10,,0,,10,,5425,,2445,,2980,
Knowledge of languages,        Pangasinan,,0,,0,,0,,1800,,790,,1015,
Knowledge of languages,        Tagalog (Pilipino; Filipino),,205,,70,,135,,612735,,253210,,359530,
Knowledge of languages,        Waray-Waray,,0,,0,,0,,1395,,530,,860,
Knowledge of languages,        Austronesian languages; n.i.e.,,10,,10,,0,,5585,,2540,,3040,
Knowledge of languages,      Creole languages,,10,,0,,0,,155615,,70545,,85070,
Knowledge of languages,        Haitian Creole,,0,,0,,0,,6850,,3140,,3710,
Knowledge of languages,        Creole; n.o.s.,,10,,0,,0,,133045,,59890,,73160,
Knowledge of languages,        Creole languages; n.i.e.,,10,,0,,10,,16635,,7955,,8675,
Knowledge of languages,      Dravidian languages,,45,,25,,15,,250180,,126220,,123960,
Knowledge of languages,        Kannada,,0,,0,,0,,8245,,4180,,4065,
Knowledge of languages,        Malayalam,,0,,0,,0,,37810,,19410,,18400,
Knowledge of languages,        Tamil,,40,,25,,20,,189860,,94640,,95220,
Knowledge of languages,        Telugu,,0,,0,,0,,23160,,12770,,10390,
Knowledge of languages,        Dravidian languages; n.i.e.,,0,,0,,0,,790,,385,,405,
Knowledge of languages,      Hmong-Mien languages,,0,,0,,0,,870,,435,,435,
Knowledge of languages,      Indo-European languages,,2520,,1155,,1365,,5158010,,2506455,,2651555,
Knowledge of languages,        Albanian,,35,,25,,10,,31930,,16140,,15790,
Knowledge of languages,        Armenian,,25,,0,,20,,41295,,19980,,21315,
Knowledge of languages,        Balto-Slavic languages,,560,,245,,310,,817315,,384960,,432350,
Knowledge of languages,          Baltic languages,,40,,20,,20,,14675,,6470,,8205,
Knowledge of languages,            Latvian,,25,,10,,10,,6500,,2960,,3540,
Knowledge of languages,            Lithuanian,,15,,10,,10,,8185,,3510,,4675,
Knowledge of languages,          Slavic languages,,515,,225,,290,,805915,,379965,,425945,
Knowledge of languages,            Belarusan,,0,,0,,0,,2265,,1070,,1195,
Knowledge of languages,            Bosnian,,0,,0,,0,,18265,,9055,,9215,
Knowledge of languages,            Bulgarian,,10,,10,,10,,22425,,10920,,11505,
Knowledge of languages,            Croatian,,20,,15,,10,,69840,,34515,,35325,
Knowledge of languages,            Czech,,25,,15,,10,,28720,,13675,,15050,
Knowledge of languages,            Macedonian,,55,,20,,35,,23075,,11190,,11880,
Knowledge of languages,            Polish,,80,,35,,45,,214965,,99365,,115600,
Knowledge of languages,            Russian,,230,,105,,125,,269645,,127055,,142595,
Knowledge of languages,            Serbian,,60,,20,,40,,73775,,37040,,36740,
Knowledge of languages,            Serbo-Croatian,,20,,15,,10,,11275,,5525,,5750,
Knowledge of languages,            Slovak,,0,,0,,0,,21470,,10215,,11255,
Knowledge of languages,            Slovene (Slovenian),,20,,10,,15,,11495,,5205,,6290,
Knowledge of languages,            Ukrainian,,50,,15,,35,,132115,,58820,,73300,
Knowledge of languages,            Slavic languages; n.i.e.,,0,,0,,0,,3000,,1590,,1405,
Knowledge of languages,        Celtic languages,,15,,10,,10,,9165,,4705,,4455,
Knowledge of languages,          Scottish Gaelic,,10,,0,,10,,3980,,2010,,1975,
Knowledge of languages,          Welsh,,0,,0,,0,,1690,,830,,860,
Knowledge of languages,          Celtic languages; n.i.e.,,0,,0,,0,,3590,,1915,,1680,
Knowledge of languages,        Germanic languages,,450,,205,,245,,695535,,337215,,358320,
Knowledge of languages,          Afrikaans,,20,,0,,15,,23410,,11795,,11610,
Knowledge of languages,          Danish,,10,,10,,10,,15745,,7320,,8425,
Knowledge of languages,          Dutch,,30,,10,,25,,120865,,57885,,62990,
Knowledge of languages,          Frisian,,0,,0,,0,,2910,,1515,,1395,
Knowledge of languages,          German,,330,,160,,175,,502730,,245745,,256985,
Knowledge of languages,          Icelandic,,0,,0,,0,,1780,,830,,945,
Knowledge of languages,          Norwegian,,20,,10,,10,,8120,,3860,,4260,
Knowledge of languages,          Swedish,,10,,10,,0,,14140,,6510,,7635,
Knowledge of languages,          Vlaams (Flemish),,0,,0,,0,,4400,,1945,,2455,
Knowledge of languages,          Yiddish,,40,,10,,30,,20985,,10435,,10550,
Knowledge of languages,          Germanic languages; n.i.e.,,0,,0,,0,,8710,,4425,,4285,
Knowledge of languages,        Greek,,135,,65,,65,,150965,,75510,,75455,
Knowledge of languages,        Indo-Iranian languages,,495,,255,,240,,1658220,,840850,,817365,
Knowledge of languages,          Indo-Aryan languages,,155,,75,,80,,1387805,,704370,,683435,
Knowledge of languages,            Bengali,,0,,0,,0,,91220,,46935,,44285,
Knowledge of languages,            Gujarati,,30,,20,,10,,149045,,74765,,74285,
Knowledge of languages,            Hindi,,85,,35,,50,,433365,,221665,,211700,
Knowledge of languages,            Kashmiri,,0,,0,,0,,905,,490,,420,
Knowledge of languages,            Konkani,,0,,0,,0,,6790,,3185,,3605,
Knowledge of languages,            Marathi,,15,,0,,0,,15570,,8200,,7365,
Knowledge of languages,            Nepali,,0,,0,,0,,21380,,10915,,10470,
Knowledge of languages,            Oriya (Odia),,0,,0,,0,,1535,,755,,775,
Knowledge of languages,            Punjabi (Panjabi),,25,,10,,15,,668240,,341450,,326790,
Knowledge of languages,            Sindhi,,0,,0,,0,,20260,,9310,,10945,
Knowledge of languages,            Sinhala (Sinhalese),,0,,0,,0,,27825,,13970,,13855,
Knowledge of languages,            Urdu,,25,,0,,20,,322220,,164685,,157535,
Knowledge of languages,          Iranian languages,,335,,175,,165,,281715,,142030,,139680,
Knowledge of languages,            Kurdish,,0,,0,,0,,15290,,8290,,7000,
Knowledge of languages,            Pashto,,0,,0,,0,,23180,,12465,,10715,
Knowledge of languages,            Persian (Farsi),,340,,175,,160,,252320,,126565,,125755,
Knowledge of languages,          Indo-Iranian languages; n.i.e.,,0,,0,,0,,8875,,4715,,4155,
Knowledge of languages,        Italic (Romance) languages,,955,,430,,530,,1897630,,898530,,999100,
Knowledge of languages,          Catalan,,0,,0,,0,,2035,,1145,,890,
Knowledge of languages,          Italian,,350,,150,,205,,574725,,278500,,296225,
Knowledge of languages,          Portuguese,,45,,20,,30,,295955,,144465,,151485,
Knowledge of languages,          Romanian,,85,,30,,45,,115050,,55275,,59770,
Knowledge of languages,          Spanish,,510,,240,,275,,995255,,460250,,535010,
Knowledge of languages,          Italic (Romance) languages; n.i.e.,,10,,10,,0,,2680,,1610,,1075,
Knowledge of languages,      Japanese,,40,,20,,20,,83090,,36760,,46335,
Knowledge of languages,      Kartvelian languages,,0,,0,,0,,2150,,1075,,1075,
Knowledge of languages,        Georgian,,0,,0,,0,,2150,,1080,,1070,
Knowledge of languages,      Korean,,240,,90,,150,,172755,,80170,,92590,
Knowledge of languages,      Mongolic languages,,0,,0,,0,,2090,,960,,1130,
Knowledge of languages,        Mongolian,,0,,0,,0,,2090,,960,,1130,
Knowledge of languages,      Niger-Congo languages,,20,,0,,15,,177215,,88135,,89080,
