Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Knowledge of languages,          Arabic,,40,,25,,20,,629055,,329235,,299820,
Knowledge of languages,          Assyrian Neo-Aramaic,,0,,0,,0,,19745,,9720,,10020,
Knowledge of languages,          Chaldean Neo-Aramaic,,0,,0,,0,,7115,,3505,,3610,
Knowledge of languages,          Harari,,0,,0,,0,,1710,,855,,860,
Knowledge of languages,          Hebrew,,0,,0,,0,,75020,,38730,,36290,
Knowledge of languages,          Maltese,,0,,0,,0,,7625,,3760,,3870,
Knowledge of languages,          Tigrigna,,0,,0,,0,,21340,,10640,,10705,
Knowledge of languages,          Semitic languages; n.i.e.,,0,,0,,0,,3220,,1655,,1565,
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,,0,,0,,0,,2775,,1440,,1335,
Knowledge of languages,      Austro-Asiatic languages,,115,,60,,55,,224865,,105845,,119020,
Knowledge of languages,        Khmer (Cambodian),,20,,10,,10,,27035,,12640,,14400,
Knowledge of languages,        Vietnamese,,90,,50,,40,,198895,,93735,,105155,
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,,0,,0,,0,,190,,70,,120,
Knowledge of languages,      Austronesian languages,,25,,10,,20,,656200,,273075,,383125,
Knowledge of languages,        Bikol,,0,,0,,0,,2075,,885,,1190,
Knowledge of languages,        Cebuano,,10,,0,,0,,27045,,10960,,16085,
Knowledge of languages,        Fijian,,0,,0,,0,,1660,,955,,705,
Knowledge of languages,        Hiligaynon,,0,,0,,0,,7925,,3200,,4720,
Knowledge of languages,        Ilocano,,0,,0,,0,,34530,,13805,,20730,
Knowledge of languages,        Malagasy,,0,,0,,0,,2335,,1120,,1220,
Knowledge of languages,        Malay,,10,,0,,0,,22470,,10370,,12100,
Knowledge of languages,        Pampangan (Kapampangan; Pampango),,0,,0,,0,,5425,,2445,,2980,
Knowledge of languages,        Pangasinan,,0,,0,,0,,1800,,790,,1015,
Knowledge of languages,        Tagalog (Pilipino; Filipino),,20,,10,,20,,612735,,253210,,359530,
Knowledge of languages,        Waray-Waray,,0,,0,,0,,1395,,530,,860,
Knowledge of languages,        Austronesian languages; n.i.e.,,0,,0,,0,,5585,,2540,,3040,
Knowledge of languages,      Creole languages,,45,,25,,25,,155615,,70545,,85070,
Knowledge of languages,        Haitian Creole,,0,,0,,0,,6850,,3140,,3710,
Knowledge of languages,        Creole; n.o.s.,,50,,20,,20,,133045,,59890,,73160,
Knowledge of languages,        Creole languages; n.i.e.,,0,,0,,0,,16635,,7955,,8675,
Knowledge of languages,      Dravidian languages,,30,,10,,20,,250180,,126220,,123960,
Knowledge of languages,        Kannada,,0,,0,,0,,8245,,4180,,4065,
Knowledge of languages,        Malayalam,,10,,10,,10,,37810,,19410,,18400,
Knowledge of languages,        Tamil,,10,,0,,0,,189860,,94640,,95220,
Knowledge of languages,        Telugu,,10,,0,,0,,23160,,12770,,10390,
Knowledge of languages,        Dravidian languages; n.i.e.,,0,,0,,0,,790,,385,,405,
Knowledge of languages,      Hmong-Mien languages,,0,,0,,0,,870,,435,,435,
Knowledge of languages,      Indo-European languages,,500,,255,,240,,5158010,,2506455,,2651555,
Knowledge of languages,        Albanian,,0,,0,,0,,31930,,16140,,15790,
Knowledge of languages,        Armenian,,0,,0,,0,,41295,,19980,,21315,
Knowledge of languages,        Balto-Slavic languages,,75,,35,,45,,817315,,384960,,432350,
Knowledge of languages,          Baltic languages,,0,,0,,0,,14675,,6470,,8205,
Knowledge of languages,            Latvian,,0,,0,,0,,6500,,2960,,3540,
Knowledge of languages,            Lithuanian,,0,,0,,0,,8185,,3510,,4675,
Knowledge of languages,          Slavic languages,,75,,35,,45,,805915,,379965,,425945,
Knowledge of languages,            Belarusan,,0,,0,,0,,2265,,1070,,1195,
Knowledge of languages,            Bosnian,,20,,10,,10,,18265,,9055,,9215,
Knowledge of languages,            Bulgarian,,0,,0,,0,,22425,,10920,,11505,
Knowledge of languages,            Croatian,,0,,0,,0,,69840,,34515,,35325,
Knowledge of languages,            Czech,,0,,0,,0,,28720,,13675,,15050,
Knowledge of languages,            Macedonian,,0,,0,,0,,23075,,11190,,11880,
Knowledge of languages,            Polish,,0,,0,,0,,214965,,99365,,115600,
Knowledge of languages,            Russian,,50,,25,,25,,269645,,127055,,142595,
Knowledge of languages,            Serbian,,0,,0,,0,,73775,,37040,,36740,
Knowledge of languages,            Serbo-Croatian,,0,,0,,0,,11275,,5525,,5750,
Knowledge of languages,            Slovak,,0,,0,,0,,21470,,10215,,11255,
Knowledge of languages,            Slovene (Slovenian),,0,,0,,0,,11495,,5205,,6290,
Knowledge of languages,            Ukrainian,,0,,0,,0,,132115,,58820,,73300,
Knowledge of languages,            Slavic languages; n.i.e.,,0,,0,,0,,3000,,1590,,1405,
Knowledge of languages,        Celtic languages,,0,,0,,0,,9165,,4705,,4455,
Knowledge of languages,          Scottish Gaelic,,0,,0,,0,,3980,,2010,,1975,
Knowledge of languages,          Welsh,,0,,0,,0,,1690,,830,,860,
Knowledge of languages,          Celtic languages; n.i.e.,,0,,0,,0,,3590,,1915,,1680,
Knowledge of languages,        Germanic languages,,25,,0,,15,,695535,,337215,,358320,
Knowledge of languages,          Afrikaans,,10,,0,,0,,23410,,11795,,11610,
Knowledge of languages,          Danish,,0,,0,,0,,15745,,7320,,8425,
Knowledge of languages,          Dutch,,15,,10,,0,,120865,,57885,,62990,
Knowledge of languages,          Frisian,,0,,0,,0,,2910,,1515,,1395,
Knowledge of languages,          German,,10,,0,,10,,502730,,245745,,256985,
Knowledge of languages,          Icelandic,,0,,0,,0,,1780,,830,,945,
Knowledge of languages,          Norwegian,,0,,0,,0,,8120,,3860,,4260,
Knowledge of languages,          Swedish,,0,,0,,0,,14140,,6510,,7635,
Knowledge of languages,          Vlaams (Flemish),,0,,0,,0,,4400,,1945,,2455,
Knowledge of languages,          Yiddish,,0,,0,,0,,20985,,10435,,10550,
Knowledge of languages,          Germanic languages; n.i.e.,,0,,0,,0,,8710,,4425,,4285,
Knowledge of languages,        Greek,,25,,15,,10,,150965,,75510,,75455,
Knowledge of languages,        Indo-Iranian languages,,260,,150,,110,,1658220,,840850,,817365,
Knowledge of languages,          Indo-Aryan languages,,220,,130,,95,,1387805,,704370,,683435,
Knowledge of languages,            Bengali,,10,,0,,10,,91220,,46935,,44285,
Knowledge of languages,            Gujarati,,85,,50,,40,,149045,,74765,,74285,
Knowledge of languages,            Hindi,,45,,20,,25,,433365,,221665,,211700,
Knowledge of languages,            Kashmiri,,0,,0,,0,,905,,490,,420,
Knowledge of languages,            Konkani,,0,,0,,0,,6790,,3185,,3605,
Knowledge of languages,            Marathi,,10,,0,,10,,15570,,8200,,7365,
Knowledge of languages,            Nepali,,0,,0,,0,,21380,,10915,,10470,
Knowledge of languages,            Oriya (Odia),,0,,0,,0,,1535,,755,,775,
Knowledge of languages,            Punjabi (Panjabi),,15,,10,,10,,668240,,341450,,326790,
Knowledge of languages,            Sindhi,,0,,0,,0,,20260,,9310,,10945,
Knowledge of languages,            Sinhala (Sinhalese),,0,,0,,0,,27825,,13970,,13855,
Knowledge of languages,            Urdu,,105,,70,,35,,322220,,164685,,157535,
Knowledge of languages,          Iranian languages,,40,,20,,15,,281715,,142030,,139680,
Knowledge of languages,            Kurdish,,0,,0,,0,,15290,,8290,,7000,
Knowledge of languages,            Pashto,,20,,20,,10,,23180,,12465,,10715,
Knowledge of languages,            Persian (Farsi),,20,,10,,10,,252320,,126565,,125755,
Knowledge of languages,          Indo-Iranian languages; n.i.e.,,0,,10,,0,,8875,,4715,,4155,
Knowledge of languages,        Italic (Romance) languages,,125,,50,,75,,1897630,,898530,,999100,
Knowledge of languages,          Catalan,,0,,0,,0,,2035,,1145,,890,
Knowledge of languages,          Italian,,35,,0,,25,,574725,,278500,,296225,
Knowledge of languages,          Portuguese,,25,,10,,15,,295955,,144465,,151485,
Knowledge of languages,          Romanian,,0,,0,,0,,115050,,55275,,59770,
Knowledge of languages,          Spanish,,65,,35,,30,,995255,,460250,,535010,
Knowledge of languages,          Italic (Romance) languages; n.i.e.,,0,,0,,0,,2680,,1610,,1075,
Knowledge of languages,      Japanese,,10,,10,,10,,83090,,36760,,46335,
Knowledge of languages,      Kartvelian languages,,0,,0,,0,,2150,,1075,,1075,
Knowledge of languages,        Georgian,,0,,0,,0,,2150,,1080,,1070,
Knowledge of languages,      Korean,,20,,10,,15,,172755,,80170,,92590,
Knowledge of languages,      Mongolic languages,,0,,0,,0,,2090,,960,,1130,
Knowledge of languages,        Mongolian,,0,,0,,0,,2090,,960,,1130,
Knowledge of languages,      Niger-Congo languages,,40,,15,,25,,177215,,88135,,89080,
Knowledge of languages,        Akan (Twi),,20,,10,,10,,22145,,10810,,11340,
Knowledge of languages,        Bamanankan,,0,,0,,0,,3190,,1660,,1530,
Knowledge of languages,        Edo,,0,,0,,0,,3220,,1510,,1705,
Knowledge of languages,        Ewe,,0,,0,,0,,3000,,1685,,1315,
Knowledge of languages,        Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0,,4725,,2460,,2260,
Knowledge of languages,        Ga,,15,,0,,20,,2250,,1140,,1110,
Knowledge of languages,        Ganda,,0,,0,,0,,2495,,1175,,1320,
Knowledge of languages,        Igbo,,0,,0,,0,,8850,,4710,,4140,
Knowledge of languages,        Lingala,,0,,0,,0,,17010,,7865,,9145,
Knowledge of languages,        Rundi (Kirundi),,0,,0,,0,,8590,,4075,,4515,
Knowledge of languages,        Kinyarwanda (Rwanda),,0,,0,,0,,7860,,3600,,4260,
Knowledge of languages,        Shona,,0,,0,,0,,5425,,2530,,2905,
Knowledge of languages,        Swahili,,10,,0,,10,,38680,,19565,,19115,
Knowledge of languages,        Wolof,,0,,0,,0,,8240,,4455,,3785,
Knowledge of languages,        Yoruba,,0,,0,,0,,22420,,11475,,10940,
Knowledge of languages,        Niger-Congo languages; n.i.e.,,15,,0,,15,,40760,,20375,,20385,
Knowledge of languages,      Nilo-Saharan languages,,0,,0,,0,,7015,,3520,,3495,
Knowledge of languages,        Dinka,,0,,0,,0,,2475,,1280,,1190,
Knowledge of languages,        Nilo-Saharan languages; n.i.e.,,0,,0,,0,,4555,,2240,,2315,
Knowledge of languages,      Sign languages,,0,,0,,0,,48115,,18985,,29130,
Knowledge of languages,        American Sign Language,,0,,0,,0,,21930,,7780,,14155,
Knowledge of languages,        Quebec Sign Language,,0,,0,,0,,4665,,1665,,3005,
Knowledge of languages,        Sign languages; n.i.e.,,0,,0,,0,,22275,,9835,,12440,
Knowledge of languages,      Sino-Tibetan languages,,155,,80,,80,,1430440,,672100,,758340,
Knowledge of languages,        Chinese languages,,155,,75,,75,,1413110,,663465,,749640,
Knowledge of languages,          Cantonese,,50,,35,,20,,699125,,325840,,373285,
Knowledge of languages,          Hakka,,0,,0,,0,,12445,,5555,,6890,
Knowledge of languages,          Mandarin,,100,,45,,45,,814450,,377635,,436815,
Knowledge of languages,          Min Dong,,0,,0,,0,,1045,,440,,600,
Knowledge of languages,          Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,10,,0,,15,,42840,,19005,,23835,
Knowledge of languages,          Wu (Shanghainese),,0,,0,,0,,16530,,7490,,9040,
Knowledge of languages,          Chinese; n.o.s.,,0,,0,,0,,41690,,19995,,21690,
Knowledge of languages,          Chinese languages; n.i.e.,,0,,0,,0,,590,,250,,340,
Knowledge of languages,        Tibeto-Burman languages,,0,,0,,0,,18270,,9100,,9175,
Knowledge of languages,          Burmese,,0,,0,,0,,4995,,2490,,2500,
Knowledge of languages,          Karenic languages,,0,,0,,0,,4895,,2425,,2475,
Knowledge of languages,          Tibetan,,0,,0,,0,,7050,,3555,,3490,
Knowledge of languages,          Tibeto-Burman languages; n.i.e.,,0,,0,,0,,2375,,1160,,1220,
Knowledge of languages,      Tai-Kadai languages,,10,,0,,0,,30400,,13210,,17195,
Knowledge of languages,        Lao,,10,,10,,0,,17235,,8240,,8990,
Knowledge of languages,        Thai,,0,,0,,0,,15390,,5875,,9520,
Knowledge of languages,        Tai-Kadai languages; n.i.e.,,0,,0,,0,,115,,50,,65,
Knowledge of languages,      Turkic languages,,20,,10,,10,,60530,,31585,,28945,
Knowledge of languages,        Azerbaijani,,0,,0,,0,,5450,,2885,,2565,
Knowledge of languages,        Turkish,,15,,15,,0,,50775,,26605,,24165,
Knowledge of languages,        Uyghur,,0,,0,,0,,1385,,685,,700,
Knowledge of languages,        Uzbek,,0,,0,,0,,2465,,1230,,1235,
Knowledge of languages,        Turkic languages; n.i.e.,,0,,0,,0,,1870,,905,,965,
Knowledge of languages,      Uralic languages,,0,,10,,0,,94810,,44270,,50545,
Knowledge of languages,        Estonian,,0,,0,,0,,6070,,2750,,3315,
Knowledge of languages,        Finnish,,0,,0,,0,,17595,,7540,,10050,
Knowledge of languages,        Hungarian,,0,,0,,0,,71285,,34005,,37280,
Knowledge of languages,        Uralic languages; n.i.e.,,0,,0,,0,,25,,10,,10,
Knowledge of languages,      Other languages; n.i.e.,,0,,0,,0,,9730,,5375,,4355,
Citizenship,Total - Citizenship for the population in private households - 25% sample data,45,2435,,1220,,1210,,34460065,,16971580,,17488490,
Citizenship,  Canadian citizens,46,2265,,1150,,1115,,32034590,,15799495,,16235090,
Citizenship,    Canadian citizens aged under 18,,595,,345,,250,,6652795,,3412785,,3240010,
Citizenship,    Canadian citizens aged 18 and over,,1670,,805,,865,,25381795,,12386710,,12995080,
Citizenship,  Not Canadian citizens,47,170,,75,,95,,2425480,,1172085,,1253400,
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,48,2430,,1220,,1210,,34460065,,16971575,,17488485,
Immigrant status and period of immigration,  Non-immigrants,49,1680,,860,,820,,26412610,,13124325,,13288290,
Immigrant status and period of immigration,  Immigrants,50,740,,345,,385,,7540830,,3586495,,3954330,
Immigrant status and period of immigration,    Before 1981,,65,,20,,45,,1941510,,927795,,1013715,
Immigrant status and period of immigration,    1981 to 1990,,90,,55,,40,,915555,,439245,,476310,
Immigrant status and period of immigration,    1991 to 2000,,265,,115,,150,,1486655,,696720,,789940,
Immigrant status and period of immigration,    2001 to 2010,,195,,100,,90,,1985035,,940570,,1044465,
Immigrant status and period of immigration,      2001 to 2005,,95,,40,,60,,928935,,439890,,489050,
Immigrant status and period of immigration,      2006 to 2010,,100,,65,,35,,1056095,,500680,,555415,
Immigrant status and period of immigration,    2011 to 2016,51,125,,65,,60,,1212075,,582175,,629895,
Immigrant status and period of immigration,  Non-permanent residents,52,10,,10,,0,,506625,,260755,,245870,
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,53,735,,345,,390,,7540830,,3586500,,3954335,
Age at immigration,  Under 5 years,,60,,30,,35,,731340,,364165,,367175,
Age at immigration,  5 to 14 years,,110,,40,,75,,1311810,,665870,,645945,
Age at immigration,  15 to 24 years,,180,,105,,75,,1604430,,724430,,880005,
Age at immigration,  25 to 44 years,,325,,155,,175,,3198920,,1513970,,1684950,
Age at immigration,  45 years and over,,60,,30,,35,,694320,,318060,,376260,
Immigrants by selected place of birth,Total - Selected places of birth for the immigrant population in private households - 25% sample data,54,735,,350,,390,,7540830,,3586495,,3954330,
Immigrants by selected place of birth,  Americas,,70,,25,,50,,1128745,,510650,,618100,
Immigrants by selected place of birth,    Brazil,,0,,0,,0,,29320,,13235,,16080,
Immigrants by selected place of birth,    Colombia,,15,,0,,10,,70035,,32065,,37965,
Immigrants by selected place of birth,    El Salvador,,0,,0,,0,,48080,,23865,,24215,
Immigrants by selected place of birth,    Guyana,,0,,0,,0,,87685,,38940,,48745,
Immigrants by selected place of birth,    Haiti,,25,,15,,15,,93480,,40955,,52525,
Immigrants by selected place of birth,    Jamaica,,0,,0,,0,,138345,,59960,,78390,
Immigrants by selected place of birth,    Mexico,,0,,0,,0,,80585,,37530,,43055,
Immigrants by selected place of birth,    Peru,,0,,0,,0,,29615,,12950,,16665,
Immigrants by selected place of birth,    Trinidad and Tobago,,0,,0,,0,,65040,,29325,,35710,
Immigrants by selected place of birth,    United States,55,0,,0,,10,,253715,,113505,,140215,
Immigrants by selected place of birth,    Other places of birth in Americas,,15,,10,,10,,232850,,108325,,124530,
Immigrants by selected place of birth,  Europe,,100,,35,,65,,2088410,,1015145,,1073260,
Immigrants by selected place of birth,    Bosnia and Herzegovina,,0,,0,,0,,36135,,18050,,18085,
Immigrants by selected place of birth,    Croatia,,0,,0,,0,,40045,,20005,,20035,
Immigrants by selected place of birth,    France,,0,,0,,0,,105565,,55395,,50170,
Immigrants by selected place of birth,    Germany,,15,,0,,10,,145845,,69525,,76320,
Immigrants by selected place of birth,    Greece,,0,,10,,0,,62715,,31580,,31135,
Immigrants by selected place of birth,    Hungary,,0,,0,,0,,36820,,17945,,18875,
Immigrants by selected place of birth,    Ireland,56,0,,0,,0,,28325,,14355,,13970,
Immigrants by selected place of birth,    Italy,,10,,0,,15,,236640,,118595,,118040,
Immigrants by selected place of birth,    Netherlands,,0,,0,,0,,88475,,45185,,43295,
Immigrants by selected place of birth,    Poland,,0,,0,,0,,146465,,66450,,80020,
Immigrants by selected place of birth,    Portugal,,0,,0,,0,,139450,,68150,,71300,
Immigrants by selected place of birth,    Romania,,0,,0,,0,,90305,,42795,,47510,
Immigrants by selected place of birth,    Russian Federation,,0,,10,,10,,78685,,34265,,44420,
Immigrants by selected place of birth,    Serbia,57,0,,0,,0,,33320,,16325,,17000,
Immigrants by selected place of birth,    Ukraine,,10,,10,,10,,73030,,33360,,39665,
Immigrants by selected place of birth,    United Kingdom,58,20,,10,,10,,499115,,243225,,255890,
Immigrants by selected place of birth,    Other places of birth in Europe,,20,,10,,10,,247470,,119945,,127530,
Immigrants by selected place of birth,  Africa,,65,,35,,30,,637485,,322510,,314970,
Immigrants by selected place of birth,    Algeria,,20,,15,,0,,64620,,33920,,30705,
Immigrants by selected place of birth,    Egypt,,0,,0,,0,,64615,,34125,,30495,
Immigrants by selected place of birth,    Ethiopia,,0,,0,,0,,32790,,15980,,16810,
Immigrants by selected place of birth,    Kenya,,0,,0,,0,,27150,,12810,,14340,
Immigrants by selected place of birth,    Morocco,,0,,0,,0,,69655,,36120,,33535,
Immigrants by selected place of birth,    Nigeria,,10,,0,,0,,42430,,21830,,20600,
Immigrants by selected place of birth,    Somalia,,0,,0,,0,,27230,,12070,,15160,
Immigrants by selected place of birth,    South Africa; Republic of,,0,,0,,0,,44660,,22205,,22460,
Immigrants by selected place of birth,    Other places of birth in Africa,,40,,20,,20,,264320,,133450,,130870,
Immigrants by selected place of birth,  Asia,,495,,255,,245,,3629160,,1709985,,1919175,
Immigrants by selected place of birth,    Afghanistan,,15,,15,,0,,51955,,26030,,25930,
Immigrants by selected place of birth,    Bangladesh,,10,,10,,0,,58735,,29875,,28865,
Immigrants by selected place of birth,    China,59,75,,30,,45,,649260,,290800,,358460,
Immigrants by selected place of birth,    Hong Kong,60,15,,10,,0,,208940,,98020,,110915,
Immigrants by selected place of birth,    India,,105,,55,,55,,668565,,334030,,334540,
Immigrants by selected place of birth,    Iran,61,10,,0,,0,,154425,,77970,,76455,
Immigrants by selected place of birth,    Iraq,,10,,10,,0,,68485,,34785,,33705,
Immigrants by selected place of birth,    Japan,,10,,10,,0,,27240,,7955,,19285,
Immigrants by selected place of birth,    Korea; South,62,25,,10,,10,,123305,,57170,,66140,
Immigrants by selected place of birth,    Lebanon,,15,,10,,10,,88745,,47295,,41450,
Immigrants by selected place of birth,    Pakistan,,40,,25,,10,,202260,,103225,,99035,
Immigrants by selected place of birth,    Philippines,,30,,10,,25,,588305,,247095,,341210,
Immigrants by selected place of birth,    Sri Lanka,,0,,0,,10,,131995,,64825,,67170,
Immigrants by selected place of birth,    Syria,63,0,,0,,0,,52960,,26595,,26365,
Immigrants by selected place of birth,    Taiwan,,10,,10,,0,,63770,,28170,,35605,
Immigrants by selected place of birth,    Viet Nam,,50,,30,,20,,169250,,78000,,91250,
Immigrants by selected place of birth,    Other places of birth in Asia,,75,,40,,40,,320965,,158150,,162815,
Immigrants by selected place of birth,  Oceania and other places of birth,64,0,,0,,0,,57030,,28210,,28825,
Recent immigrants by selected places of birth,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,54,120,,65,,60,,1212075,,582180,,629895,
Recent immigrants by selected places of birth,  Americas,,10,,10,,0,,152595,,72870,,79720,
Recent immigrants by selected places of birth,    Brazil,,0,,0,,0,,8500,,4000,,4490,
Recent immigrants by selected places of birth,    Colombia,,0,,0,,0,,15300,,6885,,8415,
Recent immigrants by selected places of birth,    Cuba,,0,,0,,0,,5370,,2545,,2820,
Recent immigrants by selected places of birth,    Haiti,,0,,0,,0,,19985,,9160,,10830,
Recent immigrants by selected places of birth,    Jamaica,,0,,0,,0,,12495,,6680,,5820,
Recent immigrants by selected places of birth,    Mexico,,0,,0,,0,,18660,,9090,,9575,
Recent immigrants by selected places of birth,    United States,55,0,,0,,0,,33060,,16480,,16580,
Recent immigrants by selected places of birth,    Venezuela,65,10,,0,,0,,6425,,2990,,3435,
Recent immigrants by selected places of birth,    Other places of birth in Americas,,0,,0,,0,,32790,,15040,,17750,
Recent immigrants by selected places of birth,  Europe,,15,,0,,10,,140030,,70995,,69035,
Recent immigrants by selected places of birth,    France,,0,,0,,0,,24150,,13000,,11150,
Recent immigrants by selected places of birth,    Germany,,0,,0,,0,,6300,,3255,,3045,
Recent immigrants by selected places of birth,    Ireland,56,0,,0,,0,,5660,,3540,,2120,
Recent immigrants by selected places of birth,    Moldova,66,0,,0,,0,,5900,,2735,,3165,
Recent immigrants by selected places of birth,    Romania,,0,,0,,0,,7610,,3330,,4280,
Recent immigrants by selected places of birth,    Russian Federation,,0,,0,,0,,11565,,4485,,7080,
Recent immigrants by selected places of birth,    Ukraine,,0,,0,,0,,13425,,6015,,7410,
Recent immigrants by selected places of birth,    United Kingdom,58,0,,0,,0,,24445,,14235,,10215,
Recent immigrants by selected places of birth,    Other places of birth in Europe,,20,,10,,10,,40970,,20405,,20570,
Recent immigrants by selected places of birth,  Africa,,0,,0,,10,,162800,,81545,,81245,
Recent immigrants by selected places of birth,    Algeria,,0,,0,,0,,17175,,8440,,8735,
Recent immigrants by selected places of birth,    Cameroon,,0,,0,,0,,10265,,5005,,5255,
Recent immigrants by selected places of birth,    Congo; Democratic Republic of the,,0,,0,,0,,7400,,3570,,3835,
Recent immigrants by selected places of birth,    Côte d'Ivoire,,0,,0,,0,,6240,,3030,,3210,
Recent immigrants by selected places of birth,    Egypt,,0,,0,,0,,16115,,8445,,7665,
Recent immigrants by selected places of birth,    Eritrea,,0,,0,,0,,6050,,3195,,2855,
Recent immigrants by selected places of birth,    Ethiopia,,0,,0,,0,,7510,,3625,,3890,
Recent immigrants by selected places of birth,    Morocco,,0,,0,,0,,15105,,7470,,7635,
Recent immigrants by selected places of birth,    Nigeria,,0,,0,,0,,17285,,8850,,8435,
Recent immigrants by selected places of birth,    Somalia,,0,,0,,0,,5335,,2600,,2730,
Recent immigrants by selected places of birth,    South Africa; Republic of,,0,,0,,0,,5765,,2935,,2830,
Recent immigrants by selected places of birth,    Tunisia,,0,,0,,0,,6700,,3475,,3230,
Recent immigrants by selected places of birth,    Other places of birth in Africa,,0,,10,,0,,41855,,20905,,20950,
Recent immigrants by selected places of birth,  Asia,,95,,50,,40,,748700,,352095,,396610,
Recent immigrants by selected places of birth,    Afghanistan,,0,,0,,0,,9240,,4530,,4710,
Recent immigrants by selected places of birth,    Bangladesh,,0,,0,,0,,12900,,6445,,6460,
Recent immigrants by selected places of birth,    China,59,25,,10,,10,,129020,,57745,,71270,
Recent immigrants by selected places of birth,    Hong Kong,60,0,,0,,0,,4975,,2090,,2880,
Recent immigrants by selected places of birth,    India,,30,,15,,20,,147190,,75145,,72045,
Recent immigrants by selected places of birth,    Iran,61,0,,0,,0,,42070,,20580,,21490,
Recent immigrants by selected places of birth,    Iraq,,0,,0,,0,,20665,,10345,,10320,
Recent immigrants by selected places of birth,    Israel,,0,,0,,0,,4740,,2615,,2130,
Recent immigrants by selected places of birth,    Japan,,0,,0,,0,,4905,,1250,,3655,
Recent immigrants by selected places of birth,    Korea; South,62,0,,0,,0,,21710,,9630,,12075,
Recent immigrants by selected places of birth,    Lebanon,,0,,0,,0,,9375,,4980,,4400,
Recent immigrants by selected places of birth,    Nepal,,0,,0,,0,,7505,,3780,,3715,
Recent immigrants by selected places of birth,    Pakistan,,0,,10,,0,,41480,,20530,,20945,
Recent immigrants by selected places of birth,    Philippines,,10,,0,,0,,188810,,83050,,105760,
Recent immigrants by selected places of birth,    Saudi Arabia,,0,,10,,0,,5465,,2820,,2640,
Recent immigrants by selected places of birth,    Sri Lanka,,0,,0,,0,,11495,,5190,,6305,
Recent immigrants by selected places of birth,    Syria,63,0,,0,,0,,29945,,15245,,14700,
Recent immigrants by selected places of birth,    Taiwan,,10,,10,,0,,4310,,1685,,2625,
Recent immigrants by selected places of birth,    Turkey,,10,,0,,10,,4255,,2365,,1890,
Recent immigrants by selected places of birth,    United Arab Emirates,,0,,0,,0,,6135,,3220,,2910,
Recent immigrants by selected places of birth,    Viet Nam,,0,,0,,0,,11210,,4500,,6705,
Recent immigrants by selected places of birth,    Other places of birth in Asia,,0,,0,,0,,31320,,14345,,16970,
Recent immigrants by selected places of birth,  Oceania and other,64,0,,0,,0,,7955,,4670,,3280,
Recent immigrants by selected places of birth,    Australia,,0,,0,,0,,4965,,2950,,2010,
Recent immigrants by selected places of birth,    Other places of birth,67,0,,0,,0,,2990,,1720,,1270,
Generation status,Total - Generation status for the population in private households - 25% sample data,68,2430,,1225,,1210,,34460060,,16971575,,17488485,
Generation status,  First generation,69,755,,365,,395,,8219555,,3936045,,4283505,
Generation status,  Second generation,70,645,,315,,330,,6100725,,3053075,,3047650,
Generation status,  Third generation or more,71,1025,,540,,485,,20139790,,9982460,,10157330,
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,72,680,,330,,350,,5703615,,2709530,,2994085,
Admission category and applicant type,  Economic immigrants,73,330,,185,,145,,2994130,,1496240,,1497885,
Admission category and applicant type,    Principal applicants,74,130,,100,,25,,1220755,,755370,,465380,
Admission category and applicant type,    Secondary applicants,75,200,,85,,120,,1773380,,740870,,1032510,
Admission category and applicant type,  Immigrants sponsored by family,76,220,,75,,145,,1782490,,728085,,1054400,
Admission category and applicant type,  Refugees,77,130,,70,,55,,858845,,453675,,405175,
Admission category and applicant type,  Other immigrants,78,0,,0,,0,,68145,,31530,,36615,
Aboriginal population,Total - Aboriginal identity for the population in private households - 25% sample data,79,2430,,1225,,1205,,34460065,,16971575,,17488485,
Aboriginal population,  Aboriginal identity,80,55,,25,,25,,1673785,,813520,,860265,
Aboriginal population,    Single Aboriginal responses,81,55,,30,,25,,1629805,,792970,,836835,
Aboriginal population,      First Nations (North American Indian),82,20,,10,,20,,977235,,471510,,505725,
Aboriginal population,      Métis,,35,,25,,10,,587545,,289435,,298115,
Aboriginal population,      Inuk (Inuit),,0,,0,,0,,65030,,32030,,32995,
Aboriginal population,    Multiple Aboriginal responses,83,0,,0,,0,,21310,,10165,,11145,
Aboriginal population,    Aboriginal responses not included elsewhere,84,0,,0,,0,,22670,,10385,,12290,
Aboriginal population,  Non-Aboriginal identity,,2380,,1195,,1180,,32786280,,16158060,,16628225,
Aboriginal population,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,85,2430,,1225,,1205,,34460065,,16971580,,17488490,
Aboriginal population,  Registered or Treaty Indian,86,15,,10,,10,,820120,,395670,,424445,
Aboriginal population,  Not a Registered or Treaty Indian,,2415,,1220,,1200,,33639945,,16575905,,17064040,
