Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Income of households in 2015,      Median total income of two-or-more-person households in 2015 ($),,58155,,,...,,...,88249,,,...,,...
Income of households in 2015,      Median after-tax income of two-or-more-person households in 2015 ($),,53642,,,...,,...,76419,,,...,,...
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 25% sample data,35,10300,,,...,,...,14072075,,,...,,...
Income of households in 2015,  Average total income of households in 2015 ($),,65064,,,...,,...,92764,,,...,,...
Income of households in 2015,  Average after-tax income of households in 2015 ($),,53700,,,...,,...,76171,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 25% sample data,,4715,,,...,,...,3967765,,,...,,...
Income of households in 2015,      Average total income of one-person households in 2015 ($),,41119,,,...,,...,46799,,,...,,...
Income of households in 2015,      Average after-tax income of one-person households in 2015 ($),,33793,,,...,,...,38685,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,,5585,,,...,,...,10104315,,,...,,...
Income of households in 2015,      Average total income of two-or-more-person households in 2015 ($),,85276,,,...,,...,110813,,,...,,...
Income of households in 2015,      Average after-tax income of two-or-more-person households in 2015 ($),,70504,,,...,,...,90890,,,...,,...
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,36,10310,,,...,,...,14072075,,,...,,...
Income of households in 2015,  Under $5;000,,420,,,...,,...,228790,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,450,,,...,,...,200315,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,840,,,...,,...,374575,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,1100,,,...,,...,565940,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,655,,,...,,...,602800,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,580,,,...,,...,538710,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,555,,,...,,...,603480,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,515,,,...,,...,606600,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,470,,,...,,...,596110,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,490,,,...,,...,578325,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,810,,,...,,...,1097345,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,615,,,...,,...,1010415,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,535,,,...,,...,924320,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,435,,,...,,...,836765,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,315,,,...,,...,745655,,,...,,...
Income of households in 2015,  $100;000 and over,,1515,,,...,,...,4561920,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,510,,,...,,...,1470255,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,275,,,...,,...,1016245,,,...,,...
Income of households in 2015,    $150;000 to $199;999,,270,,,...,,...,1116140,,,...,,...
Income of households in 2015,    $200;000 and over,,465,,,...,,...,959285,,,...,,...
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,32,10305,,,...,,...,14072075,,,...,,...
Income of households in 2015,  Under $5;000,,430,,,...,,...,243780,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,455,,,...,,...,203865,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,845,,,...,,...,380680,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,1130,,,...,,...,591660,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,710,,,...,,...,673740,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,665,,,...,,...,628225,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,605,,,...,,...,719825,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,595,,,...,,...,725675,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,625,,,...,,...,711180,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,505,,,...,,...,691695,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,850,,,...,,...,1299680,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,665,,,...,,...,1169515,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,530,,,...,,...,1041635,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,350,,,...,,...,900055,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,245,,,...,,...,757295,,,...,,...
Income of households in 2015,  $100;000 and over,,1110,,,...,,...,3333575,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,405,,,...,,...,1371945,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,210,,,...,,...,809540,,,...,,...
Income of households in 2015,    $150;000 and over,,490,,,...,,...,1152090,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,37,4695,,,...,,...,9688845,,,...,,...
Income of economic families in 2015,  Median total income of economic families in 2015 ($),,58086,,,...,,...,88306,,,...,,...
Income of economic families in 2015,  Median after-tax income of economic families in 2015 ($),,53808,,,...,,...,76372,,,...,,...
Income of economic families in 2015,  Average family size of economic families,,2.8,,,...,,...,3,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,1690,,,...,,...,3706220,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families without children or other relatives in 2015 ($),,70451,,,...,,...,78976,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),,61792,,,...,,...,68309,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families without children or other relatives,,2,,,...,,...,2,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,1705,,,...,,...,4222140,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families with children in 2015 ($),,63189,,,...,,...,113465,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families with children in 2015 ($),,58679,,,...,,...,96608,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families with children,,3.9,,,...,,...,4,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,1030,,,...,,...,1481410,,,...,,...
Income of economic families in 2015,  Median total income of lone-parent economic families in 2015 ($),,37632,,,...,,...,53193,,,...,,...
Income of economic families in 2015,  Median after-tax income of lone-parent economic families in 2015 ($),,36736,,,...,,...,48856,,,...,,...
Income of economic families in 2015,  Average family size of lone-parent economic families,,2.6,,,...,,...,2.7,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,38,4625,,,...,,...,9689855,,,...,,...
Income of economic families in 2015,  Average total income of economic families in 2015 ($),,88968,,,...,,...,111235,,,...,,...
Income of economic families in 2015,  Average after-tax income of economic families in 2015 ($),,72838,,,...,,...,91040,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,1650,,,...,,...,3706400,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families without children or other relatives in 2015 ($),,110526,,,...,,...,101086,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),,85747,,,...,,...,82296,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,1700,,,...,,...,4225855,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families with children in 2015 ($),,91743,,,...,,...,137094,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families with children in 2015 ($),,76663,,,...,,...,111307,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,,1000,,,...,,...,1477190,,,...,,...
Income of economic families in 2015,  Average total income of lone-parent economic families in 2015 ($),,50109,,,...,,...,65549,,,...,,...
Income of economic families in 2015,  Average after-tax income of lone-parent economic families in 2015 ($),,45203,,,...,,...,56687,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,21,7015,,4070,,2945,,5313545,,2608845,,2704705,
Income of economic families in 2015,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),39,20853,,20936,,20707,,31890,,34483,,29801,
Income of economic families in 2015,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),39,20416,,20492,,20381,,28959,,30746,,27495,
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,40,7100,,4170,,2930,,5299050,,2596985,,2702070,
Income of economic families in 2015,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),41,36468,,40084,,31322,,42939,,46085,,39915,
Income of economic families in 2015,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),41,30484,,32672,,27371,,35801,,37724,,33952,
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,42,20275,,10580,,9695,,34460065,,16971550,,17488515,
Income of economic families in 2015,  In the bottom half of the distribution,,14845,,7595,,7255,,17229835,,8256970,,8972865,
Income of economic families in 2015,    In the bottom decile,,5630,,2985,,2645,,3445950,,1672900,,1773050,
Income of economic families in 2015,    In the second decile,,3340,,1650,,1690,,3445660,,1564965,,1880700,
Income of economic families in 2015,    In the third decile,,2420,,1205,,1210,,3446165,,1641930,,1804235,
Income of economic families in 2015,    In the fourth decile,,1820,,910,,910,,3445850,,1677120,,1768730,
Income of economic families in 2015,    In the fifth decile,,1635,,845,,795,,3446210,,1700060,,1746150,
Income of economic families in 2015,  In the top half of the distribution,,5430,,2985,,2445,,17230230,,8714580,,8515650,
Income of economic families in 2015,    In the sixth decile,,1295,,670,,620,,3445695,,1716510,,1729185,
Income of economic families in 2015,    In the seventh decile,,1060,,575,,490,,3446470,,1730975,,1715500,
Income of economic families in 2015,    In the eighth decile,,820,,465,,355,,3445940,,1741640,,1704300,
Income of economic families in 2015,    In the ninth decile,,790,,430,,360,,3446045,,1751850,,1694195,
Income of economic families in 2015,    In the top decile,,1465,,850,,615,,3446080,,1773600,,1672475,
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,43,20275,,10575,,9700,,33968295,,16724265,,17244035,
Low income in 2015,  0 to 17 years,,3095,,1600,,1495,,6836380,,3504250,,3332125,
Low income in 2015,    0 to 5 years,,1210,,645,,565,,2228770,,1142505,,1086270,
Low income in 2015,  18 to 64 years,,14820,,7910,,6910,,21695090,,10690090,,11005005,
Low income in 2015,  65 years and over,,2360,,1065,,1295,,5436830,,2529930,,2906905,
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),,7165,,3680,,3490,,4809940,,2243200,,2566740,
Low income in 2015,  0 to 17 years,,1365,,730,,635,,1163830,,597570,,566255,
Low income in 2015,    0 to 5 years,,545,,300,,250,,396095,,203055,,193030,
Low income in 2015,  18 to 64 years,,4895,,2560,,2335,,2855290,,1341590,,1513700,
Low income in 2015,  65 years and over,,910,,390,,525,,790825,,304040,,486780,
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,35.3,,34.8,,36,,14.2,,13.4,,14.9,
Low income in 2015,  0 to 17 years (%),,44.1,,45.6,,42.5,,17,,17.1,,17,
Low income in 2015,    0 to 5 years (%),,45,,46.5,,44.2,,17.8,,17.8,,17.8,
Low income in 2015,  18 to 64 years (%),,33,,32.4,,33.8,,13.2,,12.5,,13.8,
Low income in 2015,  65 years and over (%),,38.6,,36.6,,40.5,,14.5,,12,,16.7,
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),,6520,,3455,,3065,,3128995,,1519370,,1609630,
Low income in 2015,  0 to 17 years,,1075,,580,,495,,696025,,357255,,338770,
Low income in 2015,    0 to 5 years,,425,,230,,200,,236435,,121170,,115260,
Low income in 2015,  18 to 64 years,,4710,,2565,,2145,,2157745,,1057585,,1100160,
Low income in 2015,  65 years and over,,735,,310,,425,,275225,,104525,,170695,
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,32.2,,32.7,,31.6,,9.2,,9.1,,9.3,
Low income in 2015,  0 to 17 years (%),,34.7,,36.3,,33.1,,10.2,,10.2,,10.2,
Low income in 2015,    0 to 5 years (%),,35.1,,35.7,,35.4,,10.6,,10.6,,10.6,
Low income in 2015,  18 to 64 years (%),,31.8,,32.4,,31,,9.9,,9.9,,10,
Low income in 2015,  65 years and over (%),,31.1,,29.1,,32.8,,5.1,,4.1,,5.9,
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,44,20285,,10545,,9735,,34460065,,16971575,,17488485,
Knowledge of languages,  Official languages,,19655,,10310,,9350,,33818210,,16709290,,17108920,
Knowledge of languages,    English,,19645,,10310,,9335,,29748265,,14806270,,14941995,
Knowledge of languages,    French,,2180,,1170,,1005,,10242945,,4952455,,5290495,
Knowledge of languages,  Non-official languages,,11725,,5750,,5975,,9369280,,4488185,,4881090,
Knowledge of languages,    Aboriginal languages,,20,,10,,0,,263845,,127550,,136295,
Knowledge of languages,      Algonquian languages,,10,,10,,0,,177570,,85505,,92065,
Knowledge of languages,        Blackfoot,,0,,0,,0,,5645,,2695,,2950,
Knowledge of languages,        Cree-Montagnais languages,,0,,0,,0,,116585,,56515,,60070,
Knowledge of languages,          Atikamekw,,0,,0,,0,,6640,,3335,,3305,
Knowledge of languages,          Montagnais (Innu),,0,,0,,0,,11440,,5500,,5945,
Knowledge of languages,          Moose Cree,,0,,0,,0,,195,,80,,115,
Knowledge of languages,          Naskapi,,0,,0,,0,,1465,,710,,755,
Knowledge of languages,          Northern East Cree,,0,,0,,0,,545,,225,,320,
Knowledge of languages,          Plains Cree,,0,,10,,0,,5905,,2705,,3200,
Knowledge of languages,          Southern East Cree,,0,,0,,0,,40,,30,,10,
Knowledge of languages,          Swampy Cree,,0,,0,,0,,2345,,995,,1350,
Knowledge of languages,          Woods Cree,,0,,0,,0,,2665,,1230,,1435,
Knowledge of languages,          Cree; n.o.s.,,0,,0,,0,,86115,,42080,,44035,
Knowledge of languages,        Eastern Algonquian languages,,0,,0,,0,,9765,,4710,,5050,
Knowledge of languages,          Malecite,,0,,0,,0,,755,,370,,390,
Knowledge of languages,          Mi'kmaq,,0,,0,,0,,9025,,4350,,4670,
Knowledge of languages,        Ojibway-Potawatomi languages,,0,,10,,0,,46685,,22100,,24585,
Knowledge of languages,          Algonquin,,0,,0,,0,,2480,,1165,,1315,
Knowledge of languages,          Ojibway,,10,,10,,0,,28585,,13365,,15220,
Knowledge of languages,          Oji-Cree,,0,,0,,0,,15610,,7575,,8030,
Knowledge of languages,          Ottawa (Odawa),,0,,0,,0,,205,,105,,105,
Knowledge of languages,        Algonquian languages; n.i.e.,,0,,0,,10,,120,,60,,60,
Knowledge of languages,      Athabaskan languages,,0,,0,,0,,23655,,11340,,12320,
Knowledge of languages,        Northern Athabaskan languages,,0,,0,,0,,23570,,11300,,12265,
Knowledge of languages,          Babine (Wetsuwet'en),,0,,0,,0,,210,,105,,100,
Knowledge of languages,          Beaver,,0,,0,,0,,340,,180,,165,
Knowledge of languages,          Carrier,,0,,0,,0,,2105,,955,,1145,
Knowledge of languages,          Chilcotin,,0,,0,,0,,1150,,535,,610,
Knowledge of languages,          Dene,,0,,0,,0,,13060,,6270,,6790,
Knowledge of languages,          Dogrib (Tlicho),,0,,0,,0,,2375,,1210,,1165,
Knowledge of languages,          Gwich'in,,0,,0,,0,,360,,165,,200,
Knowledge of languages,          Sarsi (Sarcee),,0,,0,,0,,150,,60,,90,
Knowledge of languages,          Sekani,,0,,0,,0,,185,,85,,100,
Knowledge of languages,          Slavey-Hare languages,,0,,0,,0,,2815,,1340,,1475,
Knowledge of languages,            North Slavey (Hare),,0,,0,,0,,1010,,475,,530,
Knowledge of languages,            South Slavey,,0,,0,,0,,1365,,660,,710,
Knowledge of languages,            Slavey; n.o.s.,,0,,0,,0,,680,,320,,360,
Knowledge of languages,          Tahltan languages,,0,,0,,0,,630,,340,,285,
Knowledge of languages,            Kaska (Nahani),,0,,0,,0,,365,,205,,170,
Knowledge of languages,            Tahltan,,0,,0,,0,,270,,140,,130,
Knowledge of languages,          Tutchone languages,,0,,0,,0,,420,,160,,260,
Knowledge of languages,            Northern Tutchone,,0,,0,,0,,285,,115,,170,
Knowledge of languages,            Southern Tutchone,,0,,0,,0,,145,,50,,95,
Knowledge of languages,        Athabaskan languages; n.i.e.,,0,,0,,0,,85,,35,,50,
Knowledge of languages,      Haida,,0,,0,,0,,465,,205,,260,
Knowledge of languages,      Inuit languages,,0,,0,,0,,42980,,21355,,21630,
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0,,0,,0,,1975,,895,,1080,
Knowledge of languages,        Inuktitut,,0,,0,,0,,40620,,20280,,20340,
Knowledge of languages,        Inuit languages; n.i.e.,,0,,0,,0,,470,,225,,240,
Knowledge of languages,      Iroquoian languages,,0,,0,,0,,2800,,1240,,1555,
Knowledge of languages,        Cayuga,,0,,0,,0,,125,,40,,85,
Knowledge of languages,        Mohawk,,0,,0,,0,,2415,,1120,,1295,
Knowledge of languages,        Oneida,,0,,0,,0,,180,,60,,125,
Knowledge of languages,        Iroquoian languages; n.i.e.,,0,,0,,0,,115,,45,,75,
Knowledge of languages,      Kutenai,,0,,0,,0,,175,,95,,80,
Knowledge of languages,      Michif,,0,,0,,0,,1210,,585,,625,
Knowledge of languages,      Salish languages,,0,,0,,0,,5750,,2730,,3015,
Knowledge of languages,        Comox,,0,,0,,0,,185,,75,,110,
Knowledge of languages,        Halkomelem,,0,,0,,0,,1060,,475,,585,
Knowledge of languages,        Lillooet,,0,,0,,0,,790,,405,,385,
Knowledge of languages,        Okanagan,,0,,0,,0,,820,,370,,450,
Knowledge of languages,        Shuswap (Secwepemctsin),,0,,0,,0,,1305,,640,,665,
Knowledge of languages,        Squamish,,0,,0,,0,,285,,125,,155,
Knowledge of languages,        Straits,,0,,0,,0,,360,,160,,200,
Knowledge of languages,        Thompson (Ntlakapamux),,0,,0,,0,,450,,220,,235,
Knowledge of languages,        Salish languages; n.i.e.,,0,,0,,0,,565,,295,,270,
Knowledge of languages,      Siouan languages,,0,,0,,0,,5430,,2665,,2770,
Knowledge of languages,        Dakota,,0,,0,,0,,1760,,870,,890,
Knowledge of languages,        Stoney,,0,,0,,0,,3675,,1805,,1875,
Knowledge of languages,        Siouan languages; n.i.e.,,0,,0,,0,,140,,70,,70,
Knowledge of languages,      Tlingit,,0,,0,,0,,260,,140,,120,
Knowledge of languages,      Tsimshian languages,,0,,0,,0,,2730,,1350,,1380,
Knowledge of languages,        Gitxsan (Gitksan),,0,,0,,0,,1305,,645,,660,
Knowledge of languages,        Nisga'a,,0,,0,,0,,1060,,545,,515,
Knowledge of languages,        Tsimshian,,0,,0,,0,,410,,180,,235,
Knowledge of languages,      Wakashan languages,,0,,0,,0,,1490,,680,,805,
Knowledge of languages,        Haisla,,0,,0,,0,,175,,65,,110,
Knowledge of languages,        Heiltsuk,,0,,0,,0,,125,,50,,75,
Knowledge of languages,        Kwakiutl (Kwak'wala),,0,,0,,0,,605,,285,,320,
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0,,0,,0,,565,,265,,300,
Knowledge of languages,        Wakashan languages; n.i.e.,,0,,0,,0,,30,,20,,10,
Knowledge of languages,      Aboriginal languages; n.o.s.,,0,,0,,0,,665,,310,,360,
Knowledge of languages,    Non-Aboriginal languages,,11710,,5745,,5965,,9107075,,4361420,,4745660,
Knowledge of languages,      Afro-Asiatic languages,,1270,,665,,605,,837355,,432560,,404795,
Knowledge of languages,        Berber languages,,0,,0,,0,,29460,,15745,,13715,
Knowledge of languages,          Kabyle,,0,,0,,0,,17120,,9100,,8015,
Knowledge of languages,          Berber languages; n.i.e.,,0,,0,,0,,12505,,6735,,5775,
Knowledge of languages,        Cushitic languages,,220,,95,,125,,57125,,26870,,30250,
Knowledge of languages,          Bilen,,0,,0,,0,,1085,,625,,470,
Knowledge of languages,          Oromo,,60,,25,,35,,6245,,3070,,3175,
Knowledge of languages,          Somali,,155,,70,,90,,49665,,23070,,26590,
Knowledge of languages,          Cushitic languages; n.i.e.,,10,,0,,10,,480,,220,,265,
Knowledge of languages,        Semitic languages,,1090,,590,,495,,771130,,400780,,370350,
Knowledge of languages,          Amharic,,505,,230,,270,,33670,,16675,,16995,
Knowledge of languages,          Arabic,,435,,295,,140,,629055,,329235,,299820,
Knowledge of languages,          Assyrian Neo-Aramaic,,0,,0,,0,,19745,,9720,,10020,
Knowledge of languages,          Chaldean Neo-Aramaic,,0,,0,,0,,7115,,3505,,3610,
Knowledge of languages,          Harari,,0,,0,,0,,1710,,855,,860,
Knowledge of languages,          Hebrew,,45,,10,,35,,75020,,38730,,36290,
Knowledge of languages,          Maltese,,0,,0,,0,,7625,,3760,,3870,
Knowledge of languages,          Tigrigna,,180,,95,,90,,21340,,10640,,10705,
Knowledge of languages,          Semitic languages; n.i.e.,,15,,10,,0,,3220,,1655,,1565,
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,,0,,0,,0,,2775,,1440,,1335,
Knowledge of languages,      Austro-Asiatic languages,,180,,85,,95,,224865,,105845,,119020,
Knowledge of languages,        Khmer (Cambodian),,20,,15,,10,,27035,,12640,,14400,
Knowledge of languages,        Vietnamese,,155,,70,,95,,198895,,93735,,105155,
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,,0,,0,,0,,190,,70,,120,
Knowledge of languages,      Austronesian languages,,2545,,935,,1610,,656200,,273075,,383125,
Knowledge of languages,        Bikol,,0,,0,,0,,2075,,885,,1190,
Knowledge of languages,        Cebuano,,65,,15,,45,,27045,,10960,,16085,
Knowledge of languages,        Fijian,,0,,0,,0,,1660,,955,,705,
Knowledge of languages,        Hiligaynon,,20,,10,,10,,7925,,3200,,4720,
Knowledge of languages,        Ilocano,,245,,75,,170,,34530,,13805,,20730,
Knowledge of languages,        Malagasy,,0,,0,,0,,2335,,1120,,1220,
Knowledge of languages,        Malay,,15,,15,,0,,22470,,10370,,12100,
Knowledge of languages,        Pampangan (Kapampangan; Pampango),,10,,0,,0,,5425,,2445,,2980,
Knowledge of languages,        Pangasinan,,0,,0,,0,,1800,,790,,1015,
Knowledge of languages,        Tagalog (Pilipino; Filipino),,2495,,910,,1585,,612735,,253210,,359530,
Knowledge of languages,        Waray-Waray,,0,,0,,0,,1395,,530,,860,
Knowledge of languages,        Austronesian languages; n.i.e.,,10,,10,,0,,5585,,2540,,3040,
Knowledge of languages,      Creole languages,,25,,10,,20,,155615,,70545,,85070,
Knowledge of languages,        Haitian Creole,,0,,0,,0,,6850,,3140,,3710,
Knowledge of languages,        Creole; n.o.s.,,20,,10,,15,,133045,,59890,,73160,
Knowledge of languages,        Creole languages; n.i.e.,,10,,10,,0,,16635,,7955,,8675,
Knowledge of languages,      Dravidian languages,,1355,,755,,600,,250180,,126220,,123960,
Knowledge of languages,        Kannada,,20,,10,,10,,8245,,4180,,4065,
Knowledge of languages,        Malayalam,,105,,55,,45,,37810,,19410,,18400,
Knowledge of languages,        Tamil,,1045,,565,,485,,189860,,94640,,95220,
Knowledge of languages,        Telugu,,250,,160,,90,,23160,,12770,,10390,
Knowledge of languages,        Dravidian languages; n.i.e.,,0,,0,,0,,790,,385,,405,
Knowledge of languages,      Hmong-Mien languages,,0,,0,,0,,870,,435,,435,
Knowledge of languages,      Indo-European languages,,4875,,2615,,2255,,5158010,,2506455,,2651555,
Knowledge of languages,        Albanian,,15,,15,,10,,31930,,16140,,15790,
Knowledge of languages,        Armenian,,0,,10,,0,,41295,,19980,,21315,
Knowledge of languages,        Balto-Slavic languages,,765,,355,,410,,817315,,384960,,432350,
Knowledge of languages,          Baltic languages,,15,,15,,0,,14675,,6470,,8205,
Knowledge of languages,            Latvian,,10,,0,,0,,6500,,2960,,3540,
Knowledge of languages,            Lithuanian,,0,,0,,0,,8185,,3510,,4675,
Knowledge of languages,          Slavic languages,,750,,345,,410,,805915,,379965,,425945,
Knowledge of languages,            Belarusan,,0,,0,,0,,2265,,1070,,1195,
Knowledge of languages,            Bosnian,,20,,0,,15,,18265,,9055,,9215,
Knowledge of languages,            Bulgarian,,35,,15,,15,,22425,,10920,,11505,
Knowledge of languages,            Croatian,,60,,30,,30,,69840,,34515,,35325,
Knowledge of languages,            Czech,,40,,15,,25,,28720,,13675,,15050,
Knowledge of languages,            Macedonian,,0,,0,,0,,23075,,11190,,11880,
Knowledge of languages,            Polish,,140,,70,,70,,214965,,99365,,115600,
Knowledge of languages,            Russian,,360,,155,,205,,269645,,127055,,142595,
Knowledge of languages,            Serbian,,140,,70,,70,,73775,,37040,,36740,
Knowledge of languages,            Serbo-Croatian,,0,,0,,0,,11275,,5525,,5750,
Knowledge of languages,            Slovak,,25,,10,,15,,21470,,10215,,11255,
Knowledge of languages,            Slovene (Slovenian),,0,,0,,0,,11495,,5205,,6290,
Knowledge of languages,            Ukrainian,,75,,40,,40,,132115,,58820,,73300,
Knowledge of languages,            Slavic languages; n.i.e.,,0,,10,,0,,3000,,1590,,1405,
Knowledge of languages,        Celtic languages,,10,,0,,0,,9165,,4705,,4455,
Knowledge of languages,          Scottish Gaelic,,10,,0,,10,,3980,,2010,,1975,
Knowledge of languages,          Welsh,,0,,0,,0,,1690,,830,,860,
Knowledge of languages,          Celtic languages; n.i.e.,,0,,0,,0,,3590,,1915,,1680,
Knowledge of languages,        Germanic languages,,390,,215,,175,,695535,,337215,,358320,
Knowledge of languages,          Afrikaans,,15,,10,,10,,23410,,11795,,11610,
Knowledge of languages,          Danish,,10,,10,,0,,15745,,7320,,8425,
Knowledge of languages,          Dutch,,90,,30,,55,,120865,,57885,,62990,
Knowledge of languages,          Frisian,,0,,0,,0,,2910,,1515,,1395,
Knowledge of languages,          German,,260,,155,,105,,502730,,245745,,256985,
Knowledge of languages,          Icelandic,,10,,10,,0,,1780,,830,,945,
Knowledge of languages,          Norwegian,,10,,0,,0,,8120,,3860,,4260,
Knowledge of languages,          Swedish,,10,,10,,0,,14140,,6510,,7635,
Knowledge of languages,          Vlaams (Flemish),,0,,0,,0,,4400,,1945,,2455,
Knowledge of languages,          Yiddish,,0,,0,,0,,20985,,10435,,10550,
Knowledge of languages,          Germanic languages; n.i.e.,,0,,0,,0,,8710,,4425,,4285,
Knowledge of languages,        Greek,,60,,40,,25,,150965,,75510,,75455,
Knowledge of languages,        Indo-Iranian languages,,2495,,1380,,1120,,1658220,,840850,,817365,
Knowledge of languages,          Indo-Aryan languages,,2155,,1170,,985,,1387805,,704370,,683435,
Knowledge of languages,            Bengali,,400,,215,,180,,91220,,46935,,44285,
Knowledge of languages,            Gujarati,,70,,45,,25,,149045,,74765,,74285,
Knowledge of languages,            Hindi,,1020,,585,,435,,433365,,221665,,211700,
Knowledge of languages,            Kashmiri,,10,,10,,0,,905,,490,,420,
Knowledge of languages,            Konkani,,10,,10,,0,,6790,,3185,,3605,
Knowledge of languages,            Marathi,,90,,35,,50,,15570,,8200,,7365,
Knowledge of languages,            Nepali,,685,,325,,355,,21380,,10915,,10470,
Knowledge of languages,            Oriya (Odia),,10,,0,,10,,1535,,755,,775,
Knowledge of languages,            Punjabi (Panjabi),,180,,95,,85,,668240,,341450,,326790,
Knowledge of languages,            Sindhi,,10,,0,,0,,20260,,9310,,10945,
Knowledge of languages,            Sinhala (Sinhalese),,10,,10,,0,,27825,,13970,,13855,
Knowledge of languages,            Urdu,,330,,190,,140,,322220,,164685,,157535,
Knowledge of languages,          Iranian languages,,350,,210,,140,,281715,,142030,,139680,
Knowledge of languages,            Kurdish,,0,,0,,0,,15290,,8290,,7000,
Knowledge of languages,            Pashto,,45,,25,,20,,23180,,12465,,10715,
Knowledge of languages,            Persian (Farsi),,315,,190,,125,,252320,,126565,,125755,
Knowledge of languages,          Indo-Iranian languages; n.i.e.,,25,,20,,10,,8875,,4715,,4155,
